ResponseId,task,task_id,condition,task_part,rating,score,numeracy
R_3JDgGOsNefO9xDR,Gambling,2,loss,choice,7,0,low
R_3JDgGOsNefO9xDR,Gambling,2,rating,rating_1,4,0,low
R_3JDgGOsNefO9xDR,Gambling,2,rating,rating_2,1,0,low
R_3Pjk6n86phnZnQ2,Gambling,2,loss,choice,15,1,low
R_3Pjk6n86phnZnQ2,Gambling,2,rating,rating_1,4,1,low
R_3Pjk6n86phnZnQ2,Gambling,2,rating,rating_2,4,1,low
R_RCzy8MUGyasNoaZ,Gambling,1,noloss,choice,11,1,low
R_RCzy8MUGyasNoaZ,Gambling,1,rating,rating_1,3,1,low
R_RCzy8MUGyasNoaZ,Gambling,1,rating,rating_2,3,1,low
R_123efBSfQQXgWnd,Gambling,2,loss,choice,19,4,high
R_123efBSfQQXgWnd,Gambling,2,rating,rating_1,5,4,high
R_123efBSfQQXgWnd,Gambling,2,rating,rating_2,4,4,high
R_d1pRRp8PqlCWEAV,Gambling,2,loss,choice,9,1,low
R_d1pRRp8PqlCWEAV,Gambling,2,rating,rating_1,4,1,low
R_d1pRRp8PqlCWEAV,Gambling,2,rating,rating_2,4,1,low
R_2TRlbIwow6Ko1jJ,Gambling,1,noloss,choice,0,3,high
R_2TRlbIwow6Ko1jJ,Gambling,1,rating,rating_1,1,3,high
R_2TRlbIwow6Ko1jJ,Gambling,1,rating,rating_2,2,3,high
R_2fIrPXKz4iTgCjY,Gambling,1,noloss,choice,17,4,high
R_2fIrPXKz4iTgCjY,Gambling,1,rating,rating_1,2,4,high
R_2fIrPXKz4iTgCjY,Gambling,1,rating,rating_2,2,4,high
R_2wFYkglGyKTABrK,Gambling,2,loss,choice,20,2,low
R_2wFYkglGyKTABrK,Gambling,2,rating,rating_1,6,2,low
R_2wFYkglGyKTABrK,Gambling,2,rating,rating_2,3,2,low
R_VVcMyz9CF4qZF1D,Gambling,1,noloss,choice,10,0,low
R_VVcMyz9CF4qZF1D,Gambling,1,rating,rating_1,3,0,low
R_VVcMyz9CF4qZF1D,Gambling,1,rating,rating_2,3,0,low
R_1l5143pzbaF60ek,Gambling,1,noloss,choice,5,3,high
R_1l5143pzbaF60ek,Gambling,1,rating,rating_1,2,3,high
R_1l5143pzbaF60ek,Gambling,1,rating,rating_2,2,3,high
R_1QJzCNTwlYBROG0,Gambling,2,loss,choice,5,3,high
R_1QJzCNTwlYBROG0,Gambling,2,rating,rating_1,1,3,high
R_1QJzCNTwlYBROG0,Gambling,2,rating,rating_2,1,3,high
R_27qj0JifN6x28WE,Gambling,1,noloss,choice,3,1,low
R_27qj0JifN6x28WE,Gambling,1,rating,rating_1,2,1,low
R_27qj0JifN6x28WE,Gambling,1,rating,rating_2,1,1,low
R_2YbPcnZlYZj4N1V,Gambling,2,loss,choice,0,4,high
R_2YbPcnZlYZj4N1V,Gambling,2,rating,rating_1,4,4,high
R_2YbPcnZlYZj4N1V,Gambling,2,rating,rating_2,1,4,high
R_296pVqfvWa32kDC,Gambling,1,noloss,choice,14,1,low
R_296pVqfvWa32kDC,Gambling,1,rating,rating_1,4,1,low
R_296pVqfvWa32kDC,Gambling,1,rating,rating_2,4,1,low
R_2qrrPGlYbtFMNad,Gambling,1,noloss,choice,6,1,low
R_2qrrPGlYbtFMNad,Gambling,1,rating,rating_1,2,1,low
R_2qrrPGlYbtFMNad,Gambling,1,rating,rating_2,5,1,low
R_3QXgEYtJoBxLGAO,Gambling,2,loss,choice,16,4,high
R_3QXgEYtJoBxLGAO,Gambling,2,rating,rating_1,3,4,high
R_3QXgEYtJoBxLGAO,Gambling,2,rating,rating_2,3,4,high
R_2PkdekMV80vdRYy,Gambling,2,loss,choice,0,2,low
R_2PkdekMV80vdRYy,Gambling,2,rating,rating_1,3,2,low
R_2PkdekMV80vdRYy,Gambling,2,rating,rating_2,1,2,low
R_A5Lhhv3fawtl6pP,Gambling,1,noloss,choice,4,1,low
R_A5Lhhv3fawtl6pP,Gambling,1,rating,rating_1,2,1,low
R_A5Lhhv3fawtl6pP,Gambling,1,rating,rating_2,2,1,low
R_89fORWzxxO7ExlT,Gambling,1,noloss,choice,12,4,high
R_89fORWzxxO7ExlT,Gambling,1,rating,rating_1,4,4,high
R_89fORWzxxO7ExlT,Gambling,1,rating,rating_2,2,4,high
R_1fl8O7hkXXoGBnH,Gambling,1,noloss,choice,3,2,low
R_1fl8O7hkXXoGBnH,Gambling,1,rating,rating_1,1,2,low
R_1fl8O7hkXXoGBnH,Gambling,1,rating,rating_2,1,2,low
R_3HhwddKP8CAb2B9,Gambling,1,noloss,choice,12,1,low
R_3HhwddKP8CAb2B9,Gambling,1,rating,rating_1,4,1,low
R_3HhwddKP8CAb2B9,Gambling,1,rating,rating_2,4,1,low
R_Y5JCeBldkZ4zOMh,Gambling,2,loss,choice,5,1,low
R_Y5JCeBldkZ4zOMh,Gambling,2,rating,rating_1,1,1,low
R_Y5JCeBldkZ4zOMh,Gambling,2,rating,rating_2,1,1,low
R_2f8PqzyYzx95yjy,Gambling,1,noloss,choice,14,3,high
R_2f8PqzyYzx95yjy,Gambling,1,rating,rating_1,4,3,high
R_2f8PqzyYzx95yjy,Gambling,1,rating,rating_2,4,3,high
R_3ReV6nFtYxIrsF1,Gambling,1,noloss,choice,11,1,low
R_3ReV6nFtYxIrsF1,Gambling,1,rating,rating_1,2,1,low
R_3ReV6nFtYxIrsF1,Gambling,1,rating,rating_2,2,1,low
R_2dZr84fr3D4zsay,Gambling,2,loss,choice,20,3,high
R_2dZr84fr3D4zsay,Gambling,2,rating,rating_1,5,3,high
R_2dZr84fr3D4zsay,Gambling,2,rating,rating_2,5,3,high
R_PTGWZnXS20e6iBj,Gambling,2,loss,choice,5,0,low
R_PTGWZnXS20e6iBj,Gambling,2,rating,rating_1,0,0,low
R_PTGWZnXS20e6iBj,Gambling,2,rating,rating_2,2,0,low
R_2dZs9NRU2ydNIZJ,Gambling,1,noloss,choice,14,1,low
R_2dZs9NRU2ydNIZJ,Gambling,1,rating,rating_1,2,1,low
R_2dZs9NRU2ydNIZJ,Gambling,1,rating,rating_2,5,1,low
R_3p4l5Vp0AF6arUT,Gambling,2,loss,choice,20,2,low
R_3p4l5Vp0AF6arUT,Gambling,2,rating,rating_1,6,2,low
R_3p4l5Vp0AF6arUT,Gambling,2,rating,rating_2,5,2,low
R_1mUePxBViSyhAus,Gambling,2,loss,choice,11,0,low
R_1mUePxBViSyhAus,Gambling,2,rating,rating_1,5,0,low
R_1mUePxBViSyhAus,Gambling,2,rating,rating_2,5,0,low
R_2P0ZSbpwicRBcAj,Gambling,1,noloss,choice,8,1,low
R_2P0ZSbpwicRBcAj,Gambling,1,rating,rating_1,4,1,low
R_2P0ZSbpwicRBcAj,Gambling,1,rating,rating_2,3,1,low
R_1g0kOcElqePFRTU,Gambling,1,noloss,choice,6,3,high
R_1g0kOcElqePFRTU,Gambling,1,rating,rating_1,4,3,high
R_1g0kOcElqePFRTU,Gambling,1,rating,rating_2,5,3,high
R_2WUXZBTILvXopCK,Gambling,2,loss,choice,17,3,high
R_2WUXZBTILvXopCK,Gambling,2,rating,rating_1,2,3,high
R_2WUXZBTILvXopCK,Gambling,2,rating,rating_2,4,3,high
R_C3phJKshYbySYNz,Gambling,1,noloss,choice,4,2,low
R_C3phJKshYbySYNz,Gambling,1,rating,rating_1,2,2,low
R_C3phJKshYbySYNz,Gambling,1,rating,rating_2,2,2,low
R_2YcdUquFKtwnV8i,Gambling,2,loss,choice,5,1,low
R_2YcdUquFKtwnV8i,Gambling,2,rating,rating_1,1,1,low
R_2YcdUquFKtwnV8i,Gambling,2,rating,rating_2,5,1,low
R_vqKm08Ft0NhMUvL,Gambling,1,noloss,choice,3,2,low
R_vqKm08Ft0NhMUvL,Gambling,1,rating,rating_1,1,2,low
R_vqKm08Ft0NhMUvL,Gambling,1,rating,rating_2,1,2,low
R_3JqmAT9NkdsyfAi,Gambling,2,loss,choice,0,3,high
R_3JqmAT9NkdsyfAi,Gambling,2,rating,rating_1,3,3,high
R_3JqmAT9NkdsyfAi,Gambling,2,rating,rating_2,6,3,high
R_2VeVslJQ4R8ZeWN,Gambling,1,noloss,choice,10,4,high
R_2VeVslJQ4R8ZeWN,Gambling,1,rating,rating_1,4,4,high
R_2VeVslJQ4R8ZeWN,Gambling,1,rating,rating_2,4,4,high
R_phenMOuvrPVJy81,Gambling,1,noloss,choice,12,2,low
R_phenMOuvrPVJy81,Gambling,1,rating,rating_1,4,2,low
R_phenMOuvrPVJy81,Gambling,1,rating,rating_2,4,2,low
R_1RJEHxQMlyhVAaZ,Gambling,2,loss,choice,12,2,low
R_1RJEHxQMlyhVAaZ,Gambling,2,rating,rating_1,3,2,low
R_1RJEHxQMlyhVAaZ,Gambling,2,rating,rating_2,3,2,low
R_3Dp9XK2N6ffL1RZ,Gambling,2,loss,choice,7,1,low
R_3Dp9XK2N6ffL1RZ,Gambling,2,rating,rating_1,2,1,low
R_3Dp9XK2N6ffL1RZ,Gambling,2,rating,rating_2,3,1,low
R_306nRJ7zd8j0zih,Gambling,1,noloss,choice,14,0,low
R_306nRJ7zd8j0zih,Gambling,1,rating,rating_1,3,0,low
R_306nRJ7zd8j0zih,Gambling,1,rating,rating_2,3,0,low
R_26losLkkgxgZHvS,Gambling,2,loss,choice,20,3,high
R_26losLkkgxgZHvS,Gambling,2,rating,rating_1,5,3,high
R_26losLkkgxgZHvS,Gambling,2,rating,rating_2,6,3,high
R_2YP2DlHQ51MOhac,Gambling,1,noloss,choice,13,0,low
R_2YP2DlHQ51MOhac,Gambling,1,rating,rating_1,1,0,low
R_2YP2DlHQ51MOhac,Gambling,1,rating,rating_2,4,0,low
R_3koK1RIot4aX4TE,Gambling,2,loss,choice,2,1,low
