ResponseId,score,numeracy
R_0DtEcsGzUrrLd3X,3,high
R_123efBSfQQXgWnd,4,high
R_12a1UWIyxeJMcwo,1,low
R_12GC6S5wYff365T,4,high
R_1Cf4vATi3WCKN9A,4,high
R_1cT9BCTuZPtvDEL,1,low
R_1CvEIztkQtuNfzf,0,low
R_1d0ryhAR50ZezuG,1,low
R_1eVsaqCWaRNhl57,0,low
R_1fl8O7hkXXoGBnH,2,low
R_1g0kOcElqePFRTU,3,high
R_1GNvaDM7rJGJ731,3,high
R_1gSkEgcOqMzuHGv,1,low
R_1GuYesOqZTy79gg,1,low
R_1GxYB4Nu5YSrSVR,1,low
R_1HjBExUIDs9WEdP,3,high
R_1HjJwgxy3omfzkD,4,high
R_1ityMaV4qGRVYqv,2,low
R_1jGRVV37DXQM1uq,0,low
R_1jQ8VCVtsKXRxiw,3,high
R_1K8gZQZFsFPD0qs,0,low
R_1l5143pzbaF60ek,3,high
R_1li6qLYX157qOXD,2,low
R_1luu9XGfu1MSqxp,0,low
R_1Lw0IVcDlbEx6cG,1,low
R_1msiC85PggLlZdf,1,low
R_1mUePxBViSyhAus,0,low
R_1mUYQLYqVNez4gp,3,high
R_1n2Eyu6c38yWX7y,0,low
R_1o5wSU53POJzuNc,1,low
R_1ONNtGS7EkU4d1n,2,low
R_1pGbGZ5RiuAIyqC,1,low
R_1pnyx1eTTO0QObM,2,low
R_1prEcEVrORXGLO6,3,high
R_1PUIsB2NgFBGV9I,1,low
R_1QJzCNTwlYBROG0,3,high
R_1QxyhWyvIJpJVdx,2,low
R_1RJEHxQMlyhVAaZ,2,low
R_1rvmOn7RdMcZQUH,4,high
R_240k77AIsalEivC,2,low
R_24IpPVNeeu8TDzO,0,low
R_26losLkkgxgZHvS,3,high
R_272yApsIipSrlM5,1,low
R_27DLxVE5yX9ecPP,2,low
R_27qj0JifN6x28WE,1,low
R_28CzMBTA1n4r15F,1,low
R_296pVqfvWa32kDC,1,low
R_29c8m8VDFtGMUYw,2,low
R_2AL65P790WkFJKa,4,high
R_2ASdWcdjbdgWptH,1,low
R_2BwBAsuTOumRWhJ,3,high
R_2cbINKNuT1bH75H,1,low
R_2DS1osxWqGJ8NT3,0,low
R_2DS8Tfi9E9h7xoi,2,low
R_2dZr84fr3D4zsay,3,high
R_2dZs9NRU2ydNIZJ,1,low
R_2f8PqzyYzx95yjy,3,high
R_2fHcgRy3rOzzK9R,0,low
R_2fIrPXKz4iTgCjY,4,high
R_2mdeQIHQFYyLNuh,4,high
R_2njW5WixKBeqjAd,1,low
R_2nPd5UP0formABX,2,low
R_2P0ZSbpwicRBcAj,1,low
R_2PkdekMV80vdRYy,2,low
R_2qrrPGlYbtFMNad,1,low
R_2qwQ3bikx05Ykn4,4,high
R_2qwSqiwUo4rFP4k,0,low
R_2RWhv9w4rWHKbCI,3,high
R_2SHxcdV6TS27Ss6,2,low
R_2sTJkblWdciXBSV,2,low
R_2tasFVgVEpNAGGn,0,low
R_2trG4X33oIM9rKc,1,low
R_2TRlbIwow6Ko1jJ,3,high
R_2TtkG9Kh4OjDijp,1,low
R_2VBV1kFPKUiuGtA,1,low
R_2VeVslJQ4R8ZeWN,4,high
R_2VjRzzn8JlJMpmV,2,low
R_2WARryyIjCys6Pe,1,low
R_2wFYkglGyKTABrK,2,low
R_2WGCksvHPLDPNVn,1,low
R_2Wu6aB6GRsWChzZ,4,high
R_2WUXZBTILvXopCK,3,high
R_2YbPcnZlYZj4N1V,4,high
R_2YcdUquFKtwnV8i,1,low
R_2YP2DlHQ51MOhac,0,low
R_2zSnBY4Nd8tAEgG,1,low
R_30320JK2QMYIZAv,3,high
R_306nRJ7zd8j0zih,0,low
R_3D8DfLEr89UBhA3,1,low
R_3Dp9XK2N6ffL1RZ,1,low
R_3fclnkNpV8iZChG,0,low
R_3flRafkLfBSUel8,3,high
R_3fQ5RYjTaxCirja,2,low
R_3g4MmFnf1lBBEDQ,3,high
R_3HhwddKP8CAb2B9,1,low
R_3HLHGIFViLN7Utr,2,low
R_3HncGEgWQYg3oCD,0,low
R_3hucL5l41aenOnJ,1,low
R_3hz1J3bypV55Chc,0,low
R_3I9VspbgFHBj05z,4,high
R_3il46RmZ2c9jufc,4,high
R_3iRaR2zPOPJzoZN,3,high
R_3iwq2SLDSwz70IU,1,low
R_3JDgGOsNefO9xDR,0,low
R_3jdmwimZNKsnm8l,4,high
R_3JIZoJd8X4Nxpcj,0,low
R_3JJInfqd39ZYoro,3,high
R_3JmgUdhPzrhGGmI,2,low
R_3JqmAT9NkdsyfAi,3,high
R_3koK1RIot4aX4TE,1,low
R_3m2hamu5pSAzhRH,4,high
R_3oNqQs9hP7zye8V,4,high
R_3OqUm2FdB3NhHNA,2,low
R_3p4l5Vp0AF6arUT,2,low
R_3Pjk6n86phnZnQ2,1,low
R_3pmPa5LajFgsvgf,4,high
R_3qmtpoD35NFwlo8,0,low
R_3QXgEYtJoBxLGAO,4,high
R_3r3dAOcrcJQ4lsf,3,high
R_3ReV6nFtYxIrsF1,1,low
R_3rVapahHpOCGzkT,4,high
R_3s4GNlLml7USXiL,1,low
R_3suXgV84r51JmCF,2,low
R_3syJFTQEZBD1zkX,2,low
R_5gyItU24qhigSzL,1,low
R_5pSPa593z6UA6Hv,1,low
R_89fORWzxxO7ExlT,4,high
R_A5Lhhv3fawtl6pP,1,low
R_AMN0PuR51f2Pl3b,3,high
R_AMP5wz7W9tvbb8J,0,low
R_b742FYxkYr7xMIh,2,low
R_bQ9uHHD0MPEhoiJ,1,low
R_C3phJKshYbySYNz,2,low
R_d1pRRp8PqlCWEAV,1,low
R_D334PkkKsvZ02qZ,3,high
R_DCbFeFEFYoMx5cd,1,low
R_emlKMQEoITTXBpD,2,low
R_esAy693FE1ZcNZD,4,high
R_OfMzjnaUOMuVrmF,3,high
R_OJ7ZZdoicRWvuRH,0,low
R_phenMOuvrPVJy81,2,low
R_PTGWZnXS20e6iBj,0,low
R_PuJQbmsNLUfccuZ,1,low
R_qJkkMYsFxZAszD3,4,high
R_qyKuOAnEc2DQICd,1,low
R_r0baIcUvxPZJaHD,2,low
R_RCzy8MUGyasNoaZ,1,low
R_rkKaNJFAgeDUd5D,2,low
R_RrCS7SiKwdfNia5,3,high
R_RxybzcsvFVQGSpb,1,low
R_SB0TQPXpSZDl7hv,0,low
R_tRic7wLvRQQESCR,4,high
