ResponseId,task_id,mode,rating,score,numeracy
R_3JDgGOsNefO9xDR,2,frequency,3,0,low
R_3Pjk6n86phnZnQ2,1,percentage,5,1,low
R_RCzy8MUGyasNoaZ,2,frequency,2,1,low
R_123efBSfQQXgWnd,1,percentage,3,4,high
R_d1pRRp8PqlCWEAV,1,percentage,2,1,low
R_2TRlbIwow6Ko1jJ,1,percentage,1,3,high
R_2fIrPXKz4iTgCjY,2,frequency,5,4,high
R_2wFYkglGyKTABrK,2,frequency,2,2,low
R_VVcMyz9CF4qZF1D,2,frequency,2,0,low
R_1l5143pzbaF60ek,2,frequency,2,3,high
R_1QJzCNTwlYBROG0,1,percentage,2,3,high
R_27qj0JifN6x28WE,1,percentage,1,1,low
R_2YbPcnZlYZj4N1V,2,frequency,5,4,high
R_296pVqfvWa32kDC,1,percentage,3,1,low
R_2qrrPGlYbtFMNad,2,frequency,4,1,low
R_3QXgEYtJoBxLGAO,1,percentage,1,4,high
R_2PkdekMV80vdRYy,1,percentage,1,2,low
R_A5Lhhv3fawtl6pP,2,frequency,5,1,low
R_89fORWzxxO7ExlT,1,percentage,3,4,high
R_1fl8O7hkXXoGBnH,2,frequency,4,2,low
R_3HhwddKP8CAb2B9,2,frequency,2,1,low
R_Y5JCeBldkZ4zOMh,1,percentage,5,1,low
R_2f8PqzyYzx95yjy,2,frequency,5,3,high
R_3ReV6nFtYxIrsF1,2,frequency,3,1,low
R_2dZr84fr3D4zsay,1,percentage,5,3,high
R_PTGWZnXS20e6iBj,1,percentage,3,0,low
R_2dZs9NRU2ydNIZJ,1,percentage,3,1,low
R_3p4l5Vp0AF6arUT,1,percentage,1,2,low
R_1mUePxBViSyhAus,2,frequency,4,0,low
R_2P0ZSbpwicRBcAj,2,frequency,4,1,low
R_1g0kOcElqePFRTU,2,frequency,4,3,high
R_2WUXZBTILvXopCK,1,percentage,3,3,high
R_C3phJKshYbySYNz,1,percentage,2,2,low
R_2YcdUquFKtwnV8i,1,percentage,2,1,low
R_vqKm08Ft0NhMUvL,1,percentage,2,2,low
R_3JqmAT9NkdsyfAi,2,frequency,6,3,high
R_2VeVslJQ4R8ZeWN,2,frequency,2,4,high
R_phenMOuvrPVJy81,1,percentage,3,2,low
R_1RJEHxQMlyhVAaZ,2,frequency,1,2,low
R_3Dp9XK2N6ffL1RZ,2,frequency,4,1,low
R_306nRJ7zd8j0zih,2,frequency,2,0,low
R_26losLkkgxgZHvS,1,percentage,1,3,high
R_2YP2DlHQ51MOhac,1,percentage,3,0,low
R_3koK1RIot4aX4TE,1,percentage,2,1,low
R_0DtEcsGzUrrLd3X,1,percentage,2,3,high
R_3fQ5RYjTaxCirja,1,percentage,5,2,low
R_3JmgUdhPzrhGGmI,2,frequency,3,2,low
R_3suXgV84r51JmCF,2,frequency,3,2,low
R_2WGCksvHPLDPNVn,2,frequency,3,1,low
R_OJ7ZZdoicRWvuRH,2,frequency,2,0,low
R_upMwdhckhh47AjL,1,percentage,2,4,high
R_1CvEIztkQtuNfzf,1,percentage,1,0,low
R_3jdmwimZNKsnm8l,1,percentage,2,4,high
R_UaOQE289jZ75QMF,1,percentage,2,3,high
R_1msiC85PggLlZdf,1,percentage,5,1,low
R_3JIZoJd8X4Nxpcj,2,frequency,2,0,low
R_30320JK2QMYIZAv,1,percentage,3,3,high
R_1Lw0IVcDlbEx6cG,2,frequency,5,1,low
R_W20UTK2cN7KY2FH,2,frequency,3,3,high
R_5gyItU24qhigSzL,1,percentage,2,1,low
R_1prEcEVrORXGLO6,2,frequency,5,3,high
R_3s4GNlLml7USXiL,1,percentage,4,1,low
R_272yApsIipSrlM5,1,percentage,2,1,low
R_2BwBAsuTOumRWhJ,1,percentage,2,3,high
R_3syJFTQEZBD1zkX,2,frequency,2,2,low
R_1o5wSU53POJzuNc,1,percentage,2,1,low
R_AMP5wz7W9tvbb8J,1,percentage,2,0,low
R_VVlP0gI8WpjecG5,2,frequency,3,3,high
R_xxUxQ2pOoc6pR6x,2,frequency,2,4,high
R_1ONNtGS7EkU4d1n,1,percentage,3,2,low
R_1eVsaqCWaRNhl57,1,percentage,4,0,low
R_240k77AIsalEivC,1,percentage,1,2,low
R_3il46RmZ2c9jufc,2,frequency,2,4,high
R_1n2Eyu6c38yWX7y,1,percentage,6,0,low
R_12a1UWIyxeJMcwo,2,frequency,3,1,low
R_3pmPa5LajFgsvgf,2,frequency,2,4,high
R_28CzMBTA1n4r15F,1,percentage,2,1,low
R_2qwSqiwUo4rFP4k,2,frequency,3,0,low
R_w5eOmX7Imhf7vsB,1,percentage,4,4,high
R_3hz1J3bypV55Chc,2,frequency,4,0,low
R_1ityMaV4qGRVYqv,1,percentage,4,2,low
R_29c8m8VDFtGMUYw,2,frequency,3,2,low
R_RxybzcsvFVQGSpb,1,percentage,2,1,low
R_UQlxH6BsxfKYhIR,1,percentage,4,1,low
R_3g4MmFnf1lBBEDQ,2,frequency,2,3,high
R_1cT9BCTuZPtvDEL,2,frequency,1,1,low
R_1pGbGZ5RiuAIyqC,1,percentage,2,1,low
R_3HLHGIFViLN7Utr,2,frequency,1,2,low
R_3flRafkLfBSUel8,2,frequency,2,3,high
R_3oNqQs9hP7zye8V,2,frequency,5,4,high
R_AMN0PuR51f2Pl3b,1,percentage,5,3,high
R_27DLxVE5yX9ecPP,2,frequency,1,2,low
R_3I9VspbgFHBj05z,2,frequency,1,4,high
R_2tasFVgVEpNAGGn,1,percentage,3,0,low
R_2njW5WixKBeqjAd,1,percentage,3,1,low
R_1GuYesOqZTy79gg,2,frequency,2,1,low
R_3iwq2SLDSwz70IU,1,percentage,3,1,low
R_1QxyhWyvIJpJVdx,1,percentage,2,2,low
R_rkKaNJFAgeDUd5D,2,frequency,3,2,low
R_1d0ryhAR50ZezuG,2,frequency,4,1,low
R_1gSkEgcOqMzuHGv,1,percentage,5,1,low
R_yINrGhlhNRMBrpf,2,frequency,5,1,low
R_DCbFeFEFYoMx5cd,2,frequency,1,1,low
R_1PUIsB2NgFBGV9I,1,percentage,1,1,low
R_2RWhv9w4rWHKbCI,2,frequency,4,3,high
R_WcT2fMkdUYhobJv,2,frequency,2,4,high
R_1rvmOn7RdMcZQUH,1,percentage,3,4,high
R_xsZZnblXpyv0jEl,2,frequency,2,3,high
R_esAy693FE1ZcNZD,1,percentage,2,4,high
R_3m2hamu5pSAzhRH,1,percentage,4,4,high
R_1jQ8VCVtsKXRxiw,2,frequency,5,3,high
R_1HjBExUIDs9WEdP,2,frequency,3,3,high
R_24IpPVNeeu8TDzO,2,frequency,2,0,low
R_2trG4X33oIM9rKc,1,percentage,2,1,low
R_2nPd5UP0formABX,1,percentage,2,2,low
R_2cbINKNuT1bH75H,2,frequency,1,1,low
R_1li6qLYX157qOXD,1,percentage,2,2,low
R_1GNvaDM7rJGJ731,2,frequency,5,3,high
R_2ASdWcdjbdgWptH,2,frequency,2,1,low
R_5pSPa593z6UA6Hv,2,frequency,2,1,low
R_Ztaca7JfkcdzA0V,2,frequency,4,1,low
R_3r3dAOcrcJQ4lsf,1,percentage,1,3,high
R_2DS1osxWqGJ8NT3,2,frequency,2,0,low
R_PuJQbmsNLUfccuZ,2,frequency,2,1,low
R_3JJInfqd39ZYoro,1,percentage,2,3,high
R_1HjJwgxy3omfzkD,1,percentage,3,4,high
R_bQ9uHHD0MPEhoiJ,1,percentage,2,1,low
R_3rVapahHpOCGzkT,2,frequency,2,4,high
R_b742FYxkYr7xMIh,1,percentage,2,2,low
R_r0baIcUvxPZJaHD,1,percentage,2,2,low
R_VOOnpjZOOAgtlNT,2,frequency,4,3,high
R_ykLfAgkTFkNHNUR,2,frequency,5,1,low
R_2zSnBY4Nd8tAEgG,1,percentage,1,1,low
R_1Cf4vATi3WCKN9A,1,percentage,2,4,high
R_1pnyx1eTTO0QObM,1,percentage,2,2,low
R_1jGRVV37DXQM1uq,1,percentage,4,0,low
R_qyKuOAnEc2DQICd,2,frequency,4,1,low
R_tRic7wLvRQQESCR,1,percentage,2,4,high
R_2Wu6aB6GRsWChzZ,2,frequency,3,4,high
R_3hucL5l41aenOnJ,2,frequency,4,1,low
R_2VBV1kFPKUiuGtA,1,percentage,1,1,low
R_3qmtpoD35NFwlo8,1,percentage,1,0,low
R_D334PkkKsvZ02qZ,1,percentage,3,3,high
R_2fHcgRy3rOzzK9R,2,frequency,3,0,low
R_w1b6cH4VqubXzZn,2,frequency,2,2,low
R_1GxYB4Nu5YSrSVR,1,percentage,1,1,low
R_3iRaR2zPOPJzoZN,2,frequency,1,3,high
R_2DS8Tfi9E9h7xoi,1,percentage,1,2,low
R_2TtkG9Kh4OjDijp,2,frequency,2,1,low
R_1mUYQLYqVNez4gp,2,frequency,2,3,high
R_u81jrkdqnstc7Ml,1,percentage,4,1,low
R_2SHxcdV6TS27Ss6,2,frequency,1,2,low
R_OfMzjnaUOMuVrmF,1,percentage,2,3,high
R_qJkkMYsFxZAszD3,1,percentage,3,4,high
R_2mdeQIHQFYyLNuh,2,frequency,2,4,high
R_12GC6S5wYff365T,1,percentage,2,4,high
R_3D8DfLEr89UBhA3,2,frequency,2,1,low
R_SB0TQPXpSZDl7hv,1,percentage,1,0,low
R_RrCS7SiKwdfNia5,1,percentage,5,3,high
R_1K8gZQZFsFPD0qs,2,frequency,2,0,low
R_UFo6gmOK5PGNlKh,2,frequency,3,0,low
R_3fclnkNpV8iZChG,1,percentage,1,0,low
R_3HncGEgWQYg3oCD,1,percentage,4,0,low
R_2AL65P790WkFJKa,2,frequency,2,4,high
R_1luu9XGfu1MSqxp,2,frequency,2,0,low
R_2WARryyIjCys6Pe,2,frequency,2,1,low
R_emlKMQEoITTXBpD,2,frequency,5,2,low
R_3OqUm2FdB3NhHNA,1,percentage,3,2,low
R_USYbDmkd8GqR2Cd,1,percentage,2,4,high
R_2VjRzzn8JlJMpmV,1,percentage,3,2,low
R_1M6yCFuvWPtQTga,1,percentage,2,NA,NA
R_2qwQ3bikx05Ykn4,2,frequency,1,4,high
R_2R7Emlw2RgRorAm,2,frequency,2,NA,NA
R_2sTJkblWdciXBSV,1,percentage,2,2,low
R_1rpN0rkLd3IAskt,2,frequency,3,NA,NA
