ResponseId,mode,task_id,rating,score,numeracy
R_3JDgGOsNefO9xDR,preference,1,4,0,low
R_3JDgGOsNefO9xDR,precision,1,5,0,low
R_3JDgGOsNefO9xDR,affect,1,-2,0,low
R_3Pjk6n86phnZnQ2,preference,1,-1,1,low
R_3Pjk6n86phnZnQ2,precision,1,1,1,low
R_3Pjk6n86phnZnQ2,affect,1,-1,1,low
R_RCzy8MUGyasNoaZ,preference,1,2,1,low
R_RCzy8MUGyasNoaZ,precision,1,1,1,low
R_RCzy8MUGyasNoaZ,affect,1,-1,1,low
R_123efBSfQQXgWnd,preference,1,5,4,high
R_123efBSfQQXgWnd,precision,1,5,4,high
R_123efBSfQQXgWnd,affect,1,2,4,high
R_d1pRRp8PqlCWEAV,preference,1,1,1,low
R_d1pRRp8PqlCWEAV,precision,1,4,1,low
R_d1pRRp8PqlCWEAV,affect,1,-1,1,low
R_2TRlbIwow6Ko1jJ,preference,1,4,3,high
R_2TRlbIwow6Ko1jJ,precision,1,2,3,high
R_2TRlbIwow6Ko1jJ,affect,1,-1,3,high
R_2fIrPXKz4iTgCjY,preference,1,6,4,high
R_2fIrPXKz4iTgCjY,precision,1,2,4,high
R_2fIrPXKz4iTgCjY,affect,1,-1,4,high
R_2wFYkglGyKTABrK,preference,1,6,2,low
R_2wFYkglGyKTABrK,precision,1,6,2,low
R_2wFYkglGyKTABrK,affect,1,-3,2,low
R_VVcMyz9CF4qZF1D,preference,1,-1,0,low
R_VVcMyz9CF4qZF1D,precision,1,0,0,low
R_VVcMyz9CF4qZF1D,affect,1,0,0,low
R_1l5143pzbaF60ek,preference,1,6,3,high
R_1l5143pzbaF60ek,precision,1,5,3,high
R_1l5143pzbaF60ek,affect,1,-1,3,high
R_1QJzCNTwlYBROG0,preference,1,6,3,high
R_1QJzCNTwlYBROG0,precision,1,4,3,high
R_1QJzCNTwlYBROG0,affect,1,-2,3,high
R_27qj0JifN6x28WE,preference,1,2,1,low
R_27qj0JifN6x28WE,precision,1,2,1,low
R_27qj0JifN6x28WE,affect,1,-1,1,low
R_2YbPcnZlYZj4N1V,preference,1,6,4,high
R_2YbPcnZlYZj4N1V,precision,1,5,4,high
R_2YbPcnZlYZj4N1V,affect,1,2,4,high
R_296pVqfvWa32kDC,preference,1,2,1,low
R_296pVqfvWa32kDC,precision,1,2,1,low
R_296pVqfvWa32kDC,affect,1,-1,1,low
R_2qrrPGlYbtFMNad,preference,1,6,1,low
R_2qrrPGlYbtFMNad,precision,1,5,1,low
R_2qrrPGlYbtFMNad,affect,1,2,1,low
R_3QXgEYtJoBxLGAO,preference,1,6,4,high
R_3QXgEYtJoBxLGAO,precision,1,3,4,high
R_3QXgEYtJoBxLGAO,affect,1,0,4,high
R_2PkdekMV80vdRYy,preference,1,6,2,low
R_2PkdekMV80vdRYy,precision,1,3,2,low
R_2PkdekMV80vdRYy,affect,1,0,2,low
R_A5Lhhv3fawtl6pP,preference,1,6,1,low
R_A5Lhhv3fawtl6pP,precision,1,0,1,low
R_A5Lhhv3fawtl6pP,affect,1,-2,1,low
R_89fORWzxxO7ExlT,preference,1,6,4,high
R_89fORWzxxO7ExlT,precision,1,6,4,high
R_89fORWzxxO7ExlT,affect,1,-2,4,high
R_1fl8O7hkXXoGBnH,preference,1,2,2,low
R_1fl8O7hkXXoGBnH,precision,1,2,2,low
R_1fl8O7hkXXoGBnH,affect,1,-1,2,low
R_3HhwddKP8CAb2B9,preference,1,4,1,low
R_3HhwddKP8CAb2B9,precision,1,4,1,low
R_3HhwddKP8CAb2B9,affect,1,-2,1,low
R_Y5JCeBldkZ4zOMh,preference,1,2,1,low
R_Y5JCeBldkZ4zOMh,precision,1,5,1,low
R_Y5JCeBldkZ4zOMh,affect,1,-2,1,low
R_2f8PqzyYzx95yjy,preference,1,6,3,high
R_2f8PqzyYzx95yjy,precision,1,5,3,high
R_2f8PqzyYzx95yjy,affect,1,-2,3,high
R_3ReV6nFtYxIrsF1,preference,1,6,1,low
R_3ReV6nFtYxIrsF1,precision,1,3,1,low
R_3ReV6nFtYxIrsF1,affect,1,1,1,low
R_2dZr84fr3D4zsay,preference,1,6,3,high
R_2dZr84fr3D4zsay,precision,1,6,3,high
R_2dZr84fr3D4zsay,affect,1,-1,3,high
R_PTGWZnXS20e6iBj,preference,1,4,0,low
R_PTGWZnXS20e6iBj,precision,1,5,0,low
R_PTGWZnXS20e6iBj,affect,1,-1,0,low
R_2dZs9NRU2ydNIZJ,preference,1,-5,1,low
R_2dZs9NRU2ydNIZJ,precision,1,5,1,low
R_2dZs9NRU2ydNIZJ,affect,1,-1,1,low
R_3p4l5Vp0AF6arUT,preference,1,6,2,low
R_3p4l5Vp0AF6arUT,precision,1,5,2,low
R_3p4l5Vp0AF6arUT,affect,1,1,2,low
R_1mUePxBViSyhAus,preference,1,4,0,low
R_1mUePxBViSyhAus,precision,1,5,0,low
R_1mUePxBViSyhAus,affect,1,2,0,low
R_2P0ZSbpwicRBcAj,preference,1,-2,1,low
R_2P0ZSbpwicRBcAj,precision,1,2,1,low
R_2P0ZSbpwicRBcAj,affect,1,1,1,low
R_1g0kOcElqePFRTU,preference,1,4,3,high
R_1g0kOcElqePFRTU,precision,1,2,3,high
R_1g0kOcElqePFRTU,affect,1,-1,3,high
R_2WUXZBTILvXopCK,preference,1,6,3,high
R_2WUXZBTILvXopCK,precision,1,6,3,high
R_2WUXZBTILvXopCK,affect,1,1,3,high
R_C3phJKshYbySYNz,preference,1,6,2,low
R_C3phJKshYbySYNz,precision,1,6,2,low
R_C3phJKshYbySYNz,affect,1,3,2,low
R_2YcdUquFKtwnV8i,preference,1,-4,1,low
R_2YcdUquFKtwnV8i,precision,1,5,1,low
R_2YcdUquFKtwnV8i,affect,1,1,1,low
R_vqKm08Ft0NhMUvL,preference,1,6,2,low
R_vqKm08Ft0NhMUvL,precision,1,2,2,low
R_vqKm08Ft0NhMUvL,affect,1,-2,2,low
R_3JqmAT9NkdsyfAi,preference,1,6,3,high
R_3JqmAT9NkdsyfAi,precision,1,3,3,high
R_3JqmAT9NkdsyfAi,affect,1,0,3,high
R_2VeVslJQ4R8ZeWN,preference,1,-2,4,high
R_2VeVslJQ4R8ZeWN,precision,1,2,4,high
R_2VeVslJQ4R8ZeWN,affect,1,-1,4,high
R_phenMOuvrPVJy81,preference,1,4,2,low
R_phenMOuvrPVJy81,precision,1,6,2,low
R_phenMOuvrPVJy81,affect,1,2,2,low
R_1RJEHxQMlyhVAaZ,preference,1,2,2,low
R_1RJEHxQMlyhVAaZ,precision,1,2,2,low
